status,title,company,location,date,blurb,tags,link,id,provider,query
new,Palliative RN Care Manager WellMed Houston TX,UnitedHealth Group Inc,"Houston, TX",2021-01-10,"Palliative RN Care Manager WellMed Houston TX-907081DescriptionDo you have compassion and a passion to help others?Transforming healthcare and millions of lives as a result starts with the values you embrace and the passion you bring to achieveyour lifes best work.(sm)TheRN Supportive / Palliative Care nursecoordinates care and provides initial ongoing nursing assessment of the patient and family needs and coordination of the patients plan of care with interdisciplinary team members and the palliative care attending physician.This position is 75% field based in Houston, with 25% in the office or in Provider Offices for meetings. Office located at: 4700 W Sam Houston Parkway N. Houston, Texas. Monday - Friday: 8am-5pm / On-call responsibilities every 5 weeks - compensated.Primary Responsibilities:Provides ongoing assessments of the impact of life-limiting chronic illness on the patients physical, functional, psychosocial and environmental needsAbility to perform procedures, to include, but not limited to wound care and dressing changes, phlebotomy and injections (B12, vaccines)Ability to conduct an advanced care discussion with a patient and their family and properly document their wishes in the electronic medical recordConsults and educates the patient / family and other caregivers regarding the disease process, pain and symptom management, end of life care and processes for dealing with issues of ethical concernCoordinates all patient / family services and prioritization of needs with the members of the interdisciplinary teamDocuments in the electronic health record progress toward established goals as per standardsUses the case management approach and refers to other services as neededMaintains a patient case load, daily visits and point of care documentation levels as per standardsParticipates with the on-call rotation schedule and weekends as assignedYoull be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.QualificationsRequired Qualifications:Registered Nurse with a current, unrestricted, license to practice in the state of Texas5+ years of experience in a clinical, hospice or hospital, rehab or long term care settingKnowledge of EMRExperience related to advanced care planning and discussions with patients regarding end-of-life wishesProficient computer skills, including Microsoft Word, Excel, and OutlookMust have access to reliable means of transportationThis position requires Tuberculosis screening as well as proof of immunity to Measles, Mumps, Rubella, Varicella, Tetanus, Diphtheria, and Pertussis through lab confirmation of immunity, documented evidence of vaccination, or a doctor's diagnosis of diseaseEmployees are required to screen for symptoms using the ProtectWell mobile app, Interactive VoiceResponse (i.e., entering your symptoms via phone system) or a similar UnitedHealth Group approved symptom screener prior to entering the work site each day, in order to keep our work sites safe. Employees must comply with any state and local masking orders. In addition, when in a UnitedHealth Group building, employees are expected to wear a mask in areas where physical distancing cannot be attainedYou will be provisioned with appropriate Personal Protective Equipment (PPE) and are required to perform this role with patients and members on site, as this is an essential function of this rolePreferred Qualifications:BSN2+ years of hospice/palliative experienceBilingual SpanishProficient knowledge of palliative care and end-of-life symptom managementCareers with WellMed.Our focus is simple. We're innovators in preventative health care, striving to change the face of health care for seniors. We're impacting550,000+ lives, primarily Medicare eligible seniors in Texas and Florida, through primary and multi - specialty clinics, and contracted medical management services. We've joined Optum, part of the UnitedHealth Group family of companies, and our mission is to help the sick become well and to help patients understand and control their health in a lifelong effort at wellness. Our providers and staff are selected for their dedication and focus on preventative, proactive care. For you, that means one incredible team and a singular opportunity to doyour life's best work.(sm)Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.Job Keywords: RN, Registered Nurse, Case Manager, Care Manager, Hospice, Palliative, End-of-life, travel, field, managed care, Medicare, Houston, TX, TexasJobHealth Care Delivery (Clin Care)Primary LocationUS-TX-HoustonOther LocationsUS-TexasOrganizationWellMed Medical Mgmt, IncScheduleFull-timeNumber of Openings2",,https://job-openings.monster.com/palliative-rn-care-manager-wellmed-houston-tx-houston-tx-us-unitedhealth-group-inc/2d4d1d74-d336-42db-ae5d-320f48e06d2b,2d4d1d74-d336-42db-ae5d-320f48e06d2b,monster,Phlebotomy-Phlebotomist-Lab
new,Facility Phlebotomist- Floater,Gulf Coast Regional Blood Center,"Houston, TX 77054 (Astrodome Area area)",2021-01-11,,,http://www.indeed.com/viewjob?jk=9de4736cd3798a59,9de4736cd3798a59,indeed,Phlebotomy+Phlebotomist
new,Facility Phlebotomist- Champions,Gulf Coast Regional Blood Center,"Houston, TX 77069",2021-01-11,,,http://www.indeed.com/viewjob?jk=af1b668f256bc7ac,af1b668f256bc7ac,indeed,Phlebotomy+Phlebotomist
new,Phlebotomist - Laboratory (PRN),Bayshore Medical Center - Pasadena,"Pasadena, TX 77504",2021-01-09,,,http://www.indeed.com/viewjob?jk=9042e380a7a08284,9042e380a7a08284,indeed,Phlebotomy+Phlebotomist
new,Phlebotomist - Laboratory (PRN),Bayshore Medical Center - Pasadena,"Pasadena, TX 77504",2021-01-09,,,http://www.indeed.com/viewjob?jk=dacbe91889650bc3,dacbe91889650bc3,indeed,Phlebotomy+Phlebotomist
new,Infusion Registered Nurse (RN),Texas Oncology,"Houston, TX",2021-01-09,"Position SummaryTexas Oncology is looking for an Infusion Registered Nurse (RN) to join our team! This position will support the Memorial City location in Houston, TX. This is a full-time Monday-Friday 8a-5p position with no weekends, call, or major holidays. Texas Oncology is the largest community oncology provider in the country and has approximately 600+ providers in 220+ sites across Texas and southeastern Oklahoma. Our founders pioneered community-based cancer care because they believed in making the best available cancer care accessible to all communities, allowing people to fight cancer at home with the critical support of family and friends nearby. Our mission is still the same todayat Texas Oncology, we use leading-edge technology and research to deliver high-quality, high-touch, evidence-based cancer care to help our patients achieve More breakthroughs. More victories.  in their fight against cancer. Today, Texas Oncology treats half of all Texans diagnosed with cancer on an annual basis.  Why work for us?  Come join our team that is responsible for helping lead Texas Oncology in treating more patient diagnosed with cancer than any other provider in Texas. We offer our employees a competitive benefits package that includes Medical, Dental, Vision, Life Insurance, Short-term and Long-term disability coverage, a generous PTO program, a 401k plan that comes with a company match, a Wellness program that rewards you practicing a healthy lifestyle, and lots of other great perks such as Tuition Reimbursement, an Employee Assistance program and discounts on some of your favorite retailers.  The ideal candidate for the Infusion Registered Nurse (RN) will have the following background and experience:   Graduate from an accredited program for professional nursing education, BSN preferred. Willing to consider a mid-, or senior-level candidate. Minimum of 1-3 years of experience. Oncology experience strongly preferred.  Current RN state license with the State Board of Nursing in practicing state.  Current BCLS (Basic Cardiac and Life Support) certification required.    What does the Infusion Registered Nurse (RN) do?  Under general supervision, the Registered Nurse (RN) provides professional nursing care for patients adhering to national and company standards and guidelines for specialty regulations. Must recognize physical, psychological, and spiritual aspects of care and participates in companywide quality initiatives. Supports and adheres to the US Oncology Compliance Program, to include the Code of Ethics and Business Standards.  The essential duties and responsibilities:  Demonstrates knowledge of age specific differences in the patient population including physiological and developmental differences unique to each group. Assess and monitors therapy of patients using appropriate technical skills under the direction and supervision of a physician.  Maintains efficient and appropriate patient flow. Demonstrates knowledge of reimbursement procedures and charge capture.  Performs venipuncture, accesses implanted ports and maintains central venous access devices and alternate delivering systems. Provides nursing coverage for the satellite offices as needed. This may include the Katy location   Texas Oncology is part of the US Oncology Network and is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.  Category:         Clinical    Post to: *N    *M    The US Oncology Network is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.",,https://job-openings.monster.com/infusion-registered-nurse-rn-houston-tx-us-texas-oncology/223383347,223383347,monster,Phlebotomy-Phlebotomist
new,Registered Nurse (RN) PRN CV IMU,HCA Houston Healthcare Clear Lake,"Webster, TX",2021-01-10,,,https://job-openings.monster.com/registered-nurse-rn-prn-cv-imu-webster-tx-us-hca-houston-healthcare-clear-lake/5614ebc1-94b2-46e1-8ee5-1d159b9038d6,5614ebc1-94b2-46e1-8ee5-1d159b9038d6,monster,Phlebotomy-Phlebotomist
new,Certified or Registered Medical Assistant,"Yoh, A Day & Zimmermann Company","Houston, TX",2021-01-11,"Registered or Certified Medical Assistantneeded for afull-timelong-term contractopportunity with Yohs client located in Houston, TX 77079.
This is located at a medical clinic (occupational health clinic) for employees only that is locatedonsite at corporate office. They offer urgent care type services and MA is primarily responsible for administrative tasks.
Top Skills You Should Possess:

Registered or Certified Medical Assistant (CCMA, CMA, or RMA)
Timely and effective communication as demonstrated through strong verbal, written and interpersonal skills
Preferred experience in: Occupational Health, Urgent Care, Emergency Medicine, or Primary Care/Family Practice

What Youll Be Doing:

Perform front and back office duties; currently due to COVID, responsibilitiesmainly geared towards front office
Assist with pre-employment physicals, drugs screens, vision/hearing testing, injections, and other duties as assigned
Blood draws
Support the DOT Drug Testing and Breath Alcohol Testing Programs
Assist at the front desk to greet guests and enter them appropriately in the electronic system
Take phone calls and schedule appointments
Charting and computer related work; contact tracing for COVID cases, return-to-work, etc.

What You Need to Bring to the Table:

Ability to work Monday-Thursday 7:00am - 3:30pm and Fridays 7:00am - 2:30pm
Current BLS
Good computer skills
Positive, can-do attitude

Whats In It For You?

Great work-life balance with no nights, holidays, or weekends needed.
Lower-risk work environment
Weekly direct deposit every Friday!


What are you waiting for? APPLY NOW!
WE APPRECIATE REFERRALS! HELP US SPREAD THE WORD!

Recruiter:Hana Daniels
Phone:818.307.8541
Yoh, a Day & Zimmermann company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Visit https://www.yoh.com/applicants-with-disabilities to contact us if you are an individual with a disability and require accommodation in the application process.",,https://job-openings.monster.com/certified-or-registered-medical-assistant-houston-tx-us-yoh-a-day-zimmermann-company/2c4b92a1-13a3-4cd0-9f01-c7ba1f7e86ff,2c4b92a1-13a3-4cd0-9f01-c7ba1f7e86ff,monster,Phlebotomy-Phlebotomist
new,Full-time Sitter For 80-year Old Mother Recovering From Mild Stroke,Care.com,"Houston, TX",2021-01-09,"Morning routine, restroom, dressing, meal prep
Clean up kitchen
Administer medication 
Physical therapy, assist with walking around the house, outside if weather permits
Rest
Lunch time meal prep
Clean up kitchen
Physical therapy
Rest
Dinner time meal prep
Clean up kitchen 
Relaxing/ TV
Administer medication
Bed time routine, bathing

Take blood pressure as needed daily using arm cuff machine
Speech is hindered due to the stroke but with patience we can communicate.

Some days attend physical therapy or doctor appointments to assist with transferring from wheelchair to car and back.

Prayer
Some TV

Bilingual preferred

Yes

No pets",,https://job-openings.monster.com/full-time-sitter-for-80-year-old-mother-recovering-from-mild-stroke-houston-tx-us-care-com/5747420f-56f4-4c9c-a62a-658611918eb0,5747420f-56f4-4c9c-a62a-658611918eb0,monster,Phlebotomy-Phlebotomist
new,Registered Nurse (RN) (PRN) Neuro Trauma ICU,HCA Houston Healthcare Clear Lake,"Webster, TX",2021-01-10,,,https://job-openings.monster.com/registered-nurse-rn-prn-neuro-trauma-icu-webster-tx-us-hca-houston-healthcare-clear-lake/3022bdbe-331d-48b2-963a-a2555b73e65d,3022bdbe-331d-48b2-963a-a2555b73e65d,monster,Phlebotomy-Phlebotomist
